thesis_id,school,department,degree,year_conferred,author_name_standardized,author_name_raw,title,advisor,official_record_url,official_pdf_url,pdf_public_status,source,retrieved_date,notes
MIT-2020-045,Massachusetts Institute of Technology,Electrical Engineering and Computer Science,Ph.D.,2020,"Zhao, Amy","Zhao, Amy(Xiaoyu Amy)",Learning distributions of transformations from small datasets for applied image synthesis,"Guttag, John V.; Durand, Frédo; Dalca, Adrian V.",https://hdl.handle.net/1721.1/128342,https://dspace.mit.edu/server/api/core/bitstreams/f1455069-e06f-4275-9063-55d00d9bee36/content,public,"DSpace@MIT (Doctoral Theses collection, REST API)",2026-08-06,
MIT-2020-046,Massachusetts Institute of Technology,Electrical Engineering and Computer Science,Ph.D.,2020,"Florence, Peter R","Florence, Peter R.(Peter Raymond)",Dense visual learning for robot manipulation,"Tedrake, Russ",https://hdl.handle.net/1721.1/128398,https://dspace.mit.edu/server/api/core/bitstreams/7e5b9d72-6e39-43ff-82a0-7ae263c777a9/content,public,"DSpace@MIT (Doctoral Theses collection, REST API)",2026-08-06,
MIT-2020-047,Massachusetts Institute of Technology,Electrical Engineering and Computer Science,Ph.D.,2020,"Hamza, Bashar","Hamza, Bashar,Ph. D.(Bashar M.)Massachusetts Institute of Technology.",An optofluidic platform for longitudinal circulating tumor cell studies in mouse models of cancer,"Manalis, Scott",https://hdl.handle.net/1721.1/128399,https://dspace.mit.edu/server/api/core/bitstreams/efebc6cd-5137-4939-9360-61364b38186a/content,public,"DSpace@MIT (Doctoral Theses collection, REST API)",2026-08-06,
MIT-2020-048,Massachusetts Institute of Technology,Electrical Engineering and Computer Science,Ph.D.,2020,"Bhargava, Nikhil","Bhargava, Nikhil(Nikhil Gaurev)",Multi-agent coordination under limited communication,"Williams, Brian C.",https://hdl.handle.net/1721.1/128409,https://dspace.mit.edu/server/api/core/bitstreams/20f123dc-331d-406d-a729-cb5ab3ad8188/content,public,"DSpace@MIT (Doctoral Theses collection, REST API)",2026-08-06,
MIT-2020-049,Massachusetts Institute of Technology,Electrical Engineering and Computer Science,Ph.D.,2020,"Einzinger, Markus","Einzinger, Markus.",Excitonic spin engineering for solar cells and organic light-emitting diodes,"Baldo, Marc A.",https://hdl.handle.net/1721.1/128410,https://dspace.mit.edu/server/api/core/bitstreams/2bd698c3-d53a-48bd-b5cf-3d0c5f6660a7/content,public,"DSpace@MIT (Doctoral Theses collection, REST API)",2026-08-06,
MIT-2020-050,Massachusetts Institute of Technology,Electrical Engineering and Computer Science,Ph.D.,2020,"Jeffrey, Mark Christopher","Jeffrey, Mark Christopher.",A hardware and software architecture for pervasive parallelism,"Sanchez, Daniel",https://hdl.handle.net/1721.1/128566,https://dspace.mit.edu/server/api/core/bitstreams/5ec9f62b-3e01-4e95-8a88-13e56623294f/content,public,"DSpace@MIT (Doctoral Theses collection, REST API)",2026-08-06,
MIT-2020-051,Massachusetts Institute of Technology,Electrical Engineering and Computer Science,Ph.D.,2020,"Linghu, Changyang","Linghu, Changyang",Spatially organized fluorescent reporters for recording complex biological dynamics in cell population,"Boyden, Edward S.",https://hdl.handle.net/1721.1/128587,https://dspace.mit.edu/server/api/core/bitstreams/adcee9fb-9f07-4845-9e2a-ba7761599180/content,public,"DSpace@MIT (Doctoral Theses collection, REST API)",2026-08-06,
MIT-2020-052,Massachusetts Institute of Technology,Electrical Engineering and Computer Science,Ph.D.,2020,"He, Yiou","He, Yiou.",Towards lightweight high-voltage power conversion,"Perreault, David J.",https://hdl.handle.net/1721.1/128589,https://dspace.mit.edu/server/api/core/bitstreams/c070cc5a-0ff9-401b-84ae-cd70b190a25b/content,public,"DSpace@MIT (Doctoral Theses collection, REST API)",2026-08-06,
MIT-2020-053,Massachusetts Institute of Technology,Electrical Engineering and Computer Science,Ph.D.,2020,"Lynch, Jayson","Lynch, Jayson(Jayson R.)",A framework for proving the computational intractability of motion planning problems,"Demaine, Erik D.",https://hdl.handle.net/1721.1/129205,https://dspace.mit.edu/server/api/core/bitstreams/6ba11f88-d727-4686-86fb-52d04017e295/content,public,"DSpace@MIT (Doctoral Theses collection, REST API)",2026-08-06,
MIT-2020-054,Massachusetts Institute of Technology,Electrical Engineering and Computer Science,Ph.D.,2020,"Agarwal, Akshay","Agarwal, Akshay.",Techniques for enhancing electron microscopy,"Berggren, Karl K.",https://hdl.handle.net/1721.1/129240,https://dspace.mit.edu/server/api/core/bitstreams/e372d30d-17c6-4d2f-ba25-49e978c8ff54/content,public,"DSpace@MIT (Doctoral Theses collection, REST API)",2026-08-06,
MIT-2020-055,Massachusetts Institute of Technology,Electrical Engineering and Computer Science,Ph.D.,2020,"Al Bastami, Anas Ibrahim","Al Bastami, Anas Ibrahim.",Efficient radio frequency power generation and impedance matching,"Perreault, David J.",https://hdl.handle.net/1721.1/129241,https://dspace.mit.edu/server/api/core/bitstreams/6c55e665-02b9-48ab-a4dd-de2542b49ee0/content,public,"DSpace@MIT (Doctoral Theses collection, REST API)",2026-08-06,
MIT-2020-056,Massachusetts Institute of Technology,Electrical Engineering and Computer Science,Ph.D.,2020,"Aliakbarpour, Maryam","Aliakbarpour, Maryam.",Distribution testing : classical and new paradigms,"Rubinfeld, Ronitt",https://hdl.handle.net/1721.1/129242,https://dspace.mit.edu/server/api/core/bitstreams/86b401d5-e042-4fb4-a768-f876ab433235/content,public,"DSpace@MIT (Doctoral Theses collection, REST API)",2026-08-06,
MIT-2020-057,Massachusetts Institute of Technology,Electrical Engineering and Computer Science,Ph.D.,2020,"Bakker, Michiel Anton","Bakker, Michiel Anton.",Improving fairness in budget-constrained algorithmic decision-making,"Pentland, Alex 'Sandy'",https://hdl.handle.net/1721.1/129243,https://dspace.mit.edu/server/api/core/bitstreams/d41c1754-e4c1-4a9c-aedd-9f69e9305dc3/content,public,"DSpace@MIT (Doctoral Theses collection, REST API)",2026-08-06,
